"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRLANDAREA","TOT","THND_HA","A","1985",485605.123,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1986",485167.951,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1987",471019.353,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1988",472033.507,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1989",460503.367,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1990",464026.542,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1991",462763.419,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1992",465953.494,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1993",460097.296,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1994",469047.583,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1995",463347.33,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1996",465219.561,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1997",466152.069,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1998",463786.276,
"AUS","AGRLANDAREA","TOT","THND_HA","A","1999",453729.393,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2000",455516.1,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2001",455723.262,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2002",447007.342,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2003",439531.447,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2004",440109.576,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2005",445148.801,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2006",434924.815,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2007",425449.339,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2008",417287.559,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2009",409028.751,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2010",397451.002,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2011",391686.179,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2012",405473.623,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2013",396615.288,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2014",406269.028,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2015",384557.865,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2016",371078.257,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2017",393797.177,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2018",378081.996,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2019",383801.493,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2020",377002.256,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2021",387264.589,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1985",49869.531,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1986",50301.808,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1987",49482.646,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1988",49366.727,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1989",50127.129,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1990",50113.868,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1991",47586.186,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1992",48790.431,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1993",47561.539,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1994",48753.047,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1995",53517.871,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1996",77327.426,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1997",41448.601,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1998",45555.092,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","1999",47004.436,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2000",48363.892,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2001",51630.362,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2002",49338.538,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2003",59842.363,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2004",63303.347,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2005",63823.577,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2006",58895.361,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2007",58689.973,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2008",89468.735,
"AUS","AGRLANDAREA","CROPLAND","THND_HA","A","2009",90810.019,
